frame,time_s,terrain_mean,splash_pixels,stem_color_pixels,upper_stem_pixels,stem_top_y
137,2.283333,34.417,854,6912,6800,280.0
138,2.3,33.672,781,6243,6133,280.0
139,2.316667,33.388,731,4485,4382,280.0
140,2.333333,33.282,605,2919,2795,280.0
141,2.35,34.146,544,1391,1389,280.0
142,2.366667,34.102,441,1268,1268,280.0
143,2.383333,35.196,251,756,756,280.0
144,2.4,36.89,255,112,112,398.0
145,2.416667,35.766,282,99,99,388.0
146,2.433333,33.143,282,76,76,365.0
147,2.45,29.373,275,76,76,305.0
148,2.466667,26.417,265,0,0,-1
149,2.483333,22.878,151,0,0,-1
150,2.5,21.539,18,0,0,-1
151,2.516667,16.938,0,0,0,-1
152,2.533333,15.231,0,0,0,-1
153,2.55,15.563,0,0,0,-1
154,2.566667,16.055,0,0,0,-1
155,2.583333,16.366,0,0,0,-1
156,2.6,16.37,0,0,0,-1
157,2.616667,16.371,0,0,0,-1
158,2.633333,16.381,0,0,0,-1
159,2.65,16.379,0,0,0,-1
160,2.666667,16.382,0,0,0,-1
161,2.683333,16.379,0,0,0,-1
162,2.7,16.376,0,0,0,-1
163,2.716667,16.365,0,0,0,-1
164,2.733333,16.361,0,0,0,-1
165,2.75,16.354,0,0,0,-1
166,2.766667,16.333,0,0,0,-1
167,2.783333,16.321,0,0,0,-1
168,2.8,16.323,0,0,0,-1
169,2.816667,16.319,0,0,0,-1
170,2.833333,16.319,0,0,0,-1
171,2.85,16.318,0,0,0,-1
172,2.866667,16.318,0,0,0,-1
173,2.883333,16.307,0,0,0,-1
174,2.9,16.307,0,0,0,-1
175,2.916667,16.309,0,0,0,-1
176,2.933333,16.313,0,0,0,-1
177,2.95,16.319,0,0,0,-1
178,2.966667,16.329,0,0,0,-1
179,2.983333,16.327,0,0,0,-1
180,3.0,16.354,0,0,0,-1
181,3.016667,16.336,0,0,0,-1
182,3.033333,16.335,0,0,0,-1
183,3.05,16.374,0,0,0,-1
184,3.066667,16.35,0,0,0,-1
185,3.083333,16.391,0,0,0,-1
186,3.1,16.436,0,0,0,-1
187,3.116667,16.445,0,0,0,-1
188,3.133333,16.449,0,0,0,-1
189,3.15,16.455,0,0,0,-1
190,3.166667,16.448,0,0,0,-1
